id	molecularFormula	adduct	NPC#pathway	NPC#pathway Probability	NPC#superclass	NPC#superclass Probability	NPC#class	NPC#class Probability	ClassyFire#most specific class	ClassyFire#most specific class Probability	ClassyFire#level 5	ClassyFire#level 5 Probability	ClassyFire#subclass	ClassyFire#subclass Probability	ClassyFire#class	ClassyFire#class Probability	ClassyFire#superclass	ClassyFire#superclass probability	ClassyFire#all classifications
395_2211_395	C51H92N6O8S	[M - H]-	Amino acids and Peptides	0.2322503626346588	Steroids	0.4379799962043762	Cholestane steroids	0.32909977436065674	Peptides	0.572325587272644	Peptides	0.572325587272644	Amino acids, peptides, and analogues	0.7527772188186646	Carboxylic acids and derivatives	0.9887549877166748	Organic acids and derivatives	0.9988483190536499	Organic compounds; Organoheterocyclic compounds; Organosulfur compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Thiophenes; Alcohols and polyols; Thiolanes; Biotin and derivatives; Imidazolidines; Steroids and steroid derivatives; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty amides; Amino acids and derivatives; Peptides; Organic carbonic acids and derivatives; Carboxylic acid amides; Ureas; Carboxylic acid derivatives; N-acyl amines; Imidazolidinones; N-acyl-alpha amino acids and derivatives; Thioethers; Thienoimidazolidines; Secondary carboxylic acid amides; Carbonyl compounds; Azolidines; Dialkylthioethers; Fatty Acyls; Organic oxides; Azacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities
216_2211_216	C27H50O9	[M + Cl]-	Terpenoids	0.8204131722450256	Steroids	0.7424535155296326	Ecdysteroids	0.7076759338378906	Hydroxy bile acids, alcohols and derivatives	0.8925862908363342	Hydroxy bile acids, alcohols and derivatives	0.8925862908363342	Bile acids, alcohols and derivatives	0.9026983380317688	Steroids and steroid derivatives	0.8696848750114441	Lipids and lipid-like molecules	0.9392544031143188	Organic compounds; Lipids and lipid-like molecules; Alcohols and polyols; Steroids and steroid derivatives; Organooxygen compounds; Cyclic alcohols and derivatives; Hydroxysteroids; Bile acids, alcohols and derivatives; Secondary alcohols; Tertiary alcohols; Carbonyl compounds; Hydroxy bile acids, alcohols and derivatives; Polyols; 3-hydroxy delta-7-steroids; 3-hydroxysteroids; 6-oxosteroids; Organic oxides; Hydrocarbon derivatives; 14-hydroxysteroids; Organic oxygen compounds; Chemical entities
227_2211_227	C29H44N6O4	[M - H]-	Alkaloids	0.5894165635108948	Ornithine alkaloids	0.2779603898525238	Polyamines	0.3582788109779358	Amino acids and derivatives	0.5608530044555664	Amino acids and derivatives	0.5608530044555664	Amino acids, peptides, and analogues	0.5518601536750793	Carboxylic acids and derivatives	0.7246799468994141	Organic acids and derivatives	0.9778463840484619	Organic compounds; Organoheterocyclic compounds; Amino acids, peptides, and analogues; Pyrimidines and pyrimidine derivatives; Lactams; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Carboxylic acid amides; Carboxylic acid derivatives; Carbonyl compounds; Benzene and substituted derivatives; Diazinanes; Benzenoids; Amines; Carboximidamides; Organic oxides; Azacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities
275_2211_275	C28H46N2O5	[M + Br]-	Terpenoids	0.8104811310768127	Steroids	0.7556037902832031	Cholane steroids	0.7886998653411865	Hydroxy bile acids, alcohols and derivatives	0.933685839176178	Hydroxy bile acids, alcohols and derivatives	0.933685839176178	Bile acids, alcohols and derivatives	0.9572449922561646	Steroids and steroid derivatives	0.8742303252220154	Lipids and lipid-like molecules	0.9591099619865417	Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alcohols and polyols; Ethers; Steroids and steroid derivatives; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty amides; Amino acids and derivatives; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl amines; Cyclic alcohols and derivatives; Hydroxysteroids; Bile acids, alcohols and derivatives; Secondary alcohols; Secondary carboxylic acid amides; Carbonyl compounds; Hydroxy bile acids, alcohols and derivatives; Amines; 3-hydroxysteroids; 7-hydroxysteroids; 12-hydroxysteroids; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities
291_2211_291	C17H32O5S	[M - H4O2 - H]-	Fatty acids	0.7547412514686584	Fatty Acids and Conjugates	0.8264188766479492	Carbocyclic fatty acids	0.9920254349708557	Benzenesulfonic acids and derivatives	0.9981330037117004			Benzenesulfonic acids and derivatives	0.9981330037117004	Benzene and substituted derivatives	0.9901641011238098	Benzenoids	0.998404324054718	Organic compounds; Organosulfur compounds; Lipids and lipid-like molecules; Benzenesulfonic acids and derivatives; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organosulfonic acids and derivatives; Organooxygen compounds; Monocarboxylic acids and derivatives; Sulfonyls; Organosulfonic acids; Carboxylic acids; Carbonyl compounds; Arylsulfonic acids and derivatives; Benzene and substituted derivatives; Benzenoids; Arylsufonic acids; 1-sulfo,2-unsubstituted aromatic compounds; Medium-chain fatty acids; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Benzenesulfonyl compounds; Organic sulfonic acids and derivatives; Organic oxygen compounds; Chemical entities
339_2211_339	C42H56O8	[M - H]-	Terpenoids	0.8736492395401001	Triterpenoids	0.9506399035453796	Lupane triterpenoids	0.7850918173789978	Triterpenoids	0.9641246795654297			Triterpenoids	0.9641246795654297	Prenol lipids	0.9427585601806641	Lipids and lipid-like molecules	0.966570258140564	Organic compounds; Lipids and lipid-like molecules; Steroids and steroid derivatives; Prenol lipids; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Dicarboxylic acids and derivatives; Carboxylic acid derivatives; Carboxylic acids; Carboxylic acid esters; Triterpenoids; Carbonyl compounds; Benzene and substituted derivatives; Benzenoids; Organic oxides; Hydrocarbon derivatives; 18-hydroxysteroids; Organic oxygen compounds; Chemical entities
210_2211_210	C35H56N4O7	[M + Cl]-	Alkaloids	0.5234587788581848	Pseudoalkaloids	0.11811209470033646	Steroidal alkaloids	0.1826455295085907	Alpha amino acids and derivatives	0.624099612236023	Amino acids and derivatives	0.9480866193771362	Amino acids, peptides, and analogues	0.9478283524513245	Carboxylic acids and derivatives	0.9445635080337524	Organic acids and derivatives	0.9917367100715637	Organic compounds; Organoheterocyclic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Alkyl aryl ethers; Alcohols and polyols; Anisoles; Piperidines; Ethers; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty amides; Amino acids and derivatives; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl amines; Secondary alcohols; Secondary carboxylic acid amides; Carbonyl compounds; 1,2-aminoalcohols; Trialkylamines; Benzene and substituted derivatives; Phenol ethers; Benzenoids; Amines; Tertiary amines; Alkanolamines; Aralkylamines; Fatty Acyls; Organic oxides; Azacyclic compounds; Oxacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Phenoxy compounds; Chemical entities
49_2211_49	C6H12N3	[M - H]-	Alkaloids	0.7192203402519226	Guanidine alkaloids	0.2579423487186432	Tricyclic guanidine alkaloids	0.27335476875305176	Guanidines	0.5708633065223694			Guanidines	0.5708633065223694	Organonitrogen compounds	0.999735414981842	Organic nitrogen compounds	0.9996771812438965	Organic compounds; Organoheterocyclic compounds; Organonitrogen compounds; Guanidines; Carboximidamides; Azacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic nitrogen compounds; Chemical entities
308_2211_308	C35H66O4	[M + CH2O2 - H]-	Terpenoids	0.6556733846664429	Triterpenoids	0.4590279757976532	Acyclic triterpenoids	0.22628557682037354	Fatty alcohol esters	0.663802981376648			Fatty alcohol esters	0.663802981376648	Fatty Acyls	0.883478581905365	Lipids and lipid-like molecules	0.9642444849014282	Organic compounds; Lipids and lipid-like molecules; Alcohols and polyols; Prenol lipids; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Fatty acid esters; Carboxylic acid derivatives; Carboxylic acid esters; Fatty alcohols; Secondary alcohols; Tertiary alcohols; Fatty alcohol esters; Carbonyl compounds; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities
333_2211_333	C41H56N4O5	[M - H4O2 - H]-	Alkaloids	0.5525808334350586	Tryptophan alkaloids	0.5026921629905701	Cyclic peptides	0.22408658266067505	Alpha amino acids and derivatives	0.5113197565078735	Amino acids and derivatives	0.9021250009536743	Amino acids, peptides, and analogues	0.9082286953926086	Carboxylic acids and derivatives	0.9863654375076294	Organic acids and derivatives	0.9973141551017761	Organic compounds; Organoheterocyclic compounds; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Pyrroles; Alkyl aryl ethers; Piperazines; Piperidines; Indoles and derivatives; Ethers; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Carboxylic acid amides; Carboxylic acid derivatives; Secondary carboxylic acid amides; Carbonyl compounds; Trialkylamines; Benzene and substituted derivatives; Phenol ethers; Diazinanes; Benzenoids; Amines; Tertiary amines; Indoles; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; 3-alkylindoles; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities
