rank	molecularFormula	adduct	precursorFormula	ZodiacScore	SiriusScore	TreeScore	IsotopeScore	numExplainedPeaks	explainedIntensity	medianMassErrorFragmentPeaks(ppm)	medianAbsoluteMassErrorFragmentPeaks(ppm)	massErrorPrecursor(ppm)	lipidClass	ionMass	retentionTimeInSeconds	id
1	C18H30O4	[M - H]-	C18H30O4	0.9999999999999999	157.86082355448454	154.03859720279377	3.8222263516907673	30	0.9483263191813678	-7.609448607103504	7.609448607103504	-58248.12889745479		309.20697	258.634	258_2211_258
2	C18H32O5	[M - H]-	C18H32O5	0.9999999999999999	151.94397700151168	148.09640369741638	3.8475733040953064	25	0.9038624171396492	-6.780346056849504	6.780346056849504	-0.4213021342353751		327.21756	183.043	135_2211_135
3	C18H34O6	[M - H]-	C18H34O6	0.9999999999999999	117.70327223891283	113.85198558898745	3.8512866499253793	25	0.8725413271140863	-5.843164811084036	5.843164811084036	-0.503947995748198		345.22809	157.197	107_2211_107
4	C18H30O4	[M - H]-	C18H30O4	0.9999999999999999	105.58618448715085	101.72209369935167	3.8640907877991673	20	0.9833329253675567	-7.095903529840337	7.095903529840337	-0.4277247516138965		309.20700	206.165	164_2211_164
5	C18H36O5	[M - H]-	C18H36O5	0.9999999999999999	91.07152484013518	87.19849045903229	3.8730343811029044	20	0.8917496174507256	-6.970681255714955	6.970681255714955	-54371.98747644221		331.24890	198.08	150_2211_150
6	C12H29N9O2	[M - H]-	C12H29N9O2	0.9999999999999999	89.41386939416765	84.63181401301046	4.782055381157196	25	0.421422560111086	-0.9319891209537267	1.5005306447468427	-1.8258665725708374		330.23654	180.053	128_2211_128
7	C18H30O4	[M - H]-	C18H30O4	0.9999999999999999	86.34739531061831	82.61254038467477	3.734854925943533	15	0.9225023712998014	-5.049706660544992	5.049706660544992	-0.4277247516138965		309.20700	271.162	278_2211_278
8	C29H46O5	[M - H]-	C29H46O5	0.9999999999999999	84.56732196551953	80.8031385589179	3.764183406601635	19	0.9752024053492575	-1.64892338539432	2.312615236185691	-38051.798920275716		473.32687	365.414	440_2211_440
9	C18H32O4	[M - H]-	C18H32O4	0.9999999999999999	82.91790160993763	79.07443586903725	3.8434657409003843	19	0.8270989343867567	-5.98293936111212	5.98293936111212	-57870.8632160071		311.22263	209.149	167_2211_167
10	C24H40N4O5	[M - H]-	C24H40N4O5	0.9999999999999999	75.28181980365808	68.16401194711928	7.117807856538807	26	0.9417879982529777	-1.6656395178307115	1.738241160765074	-3.2091057911822225		463.29111	314.172	349_2211_349
11	C29H48O5	[M - H]-	C29H48O5	0.9999999999999999	72.69368836611098	69.38613125005017	3.3075571160608006	13	0.9434146150637792	-1.1252249106815464	2.546920459558579	-1.9958705935238419		475.34195	374.371	465_2211_465
12	C18H30O5	[M - H]-	C18H30O5	0.9999999999999999	71.11767660936661	67.4685488515341	3.6491277578325145	14	0.9466963816757218	-2.8792470135668036	3.8168390934505227	-0.6283672584249322		325.20184	222.506	183_2211_183
13	C8H12N3O4	[M - H]-	C8H12N3O4	0.9999999999999999	68.22183283294964	65.74470598596153	2.477126846988108	11	0.7418485135394863	0.40708214254368347	1.2692239264307452	3.275732629230918		213.07620	83.278	35_2211_35
14	C18H34O6	[M - H]-	C18H34O6	0.9999999999999999	67.27569671885912	61.13002994529759	6.145666773561531	16	0.758567804158913	-6.583464228677029	6.583464228677029	-0.3271513263220911		345.22815	135.223	79_2211_79
15	C37H56N4O6	[M - H]-	C37H56N4O6	0.9999999999999999	66.53015423653412	66.53015423653412	0.0	19	0.9144438703035955	-0.9014001550347839	1.1848157278811176	-55299.493362785535		651.41113	371.472	456_2211_456
16	C29H44O5	[M - H]-	C29H44O5	0.9999999999999999	64.82575940861844	58.34192303301241	6.483836375606031	12	0.657020194389957	-1.129576876244353	1.2263049563739552	-76428.63572189111		471.31107	331.602	381_2211_381
17	C7H12N3O2	[M - H]-	C7H12N3O2	0.9999999999999999	63.47979880375927	61.060670343698426	2.419128460060848	10	0.9848347831988925	-1.26253767176728	1.4776008334941113	1.9124188258867738		169.08600	161.586	109_2211_109
18	C18H28O4	[M - H]-	C18H28O4	0.9999999999999999	63.1112695473035	59.288515376835754	3.822754170467748	9	0.4452368494253076	-1.9235837107733036	1.9235837107733036	-58630.13514798573		307.19138	231.557	196_2211_196
19	C30H42O7	[M - H]-	C30H42O7	0.9999999999999999	62.81445405467022	59.232236435146646	3.5822176195235738	13	0.7484489156976499	-0.4950525736000912	1.18939458847704	-1.4476405357616415		513.28503	227.835	191_2211_191
20	C30H46O4	[M - H]-	C30H46O4	0.9999999999999999	61.412495401709855	55.522876047442175	5.889619354267682	14	0.8752092741878756	0.12816926490975578	1.1099930658454293	-1.164188212816233		469.33179	269.836	271_2211_271
21	C16H8O8	[M - H]-	C16H8O8	0.9999999999999999	61.044408226475106	54.756924467560864	6.28748375891424	12	0.9268668836062414	-3.1669057075677234	3.1669057075677234	-0.34982153011380895		327.01453	156.164	103_2211_103
22	C21H32N2O7	[M + Cl]-	C21H32N2O7	0.9999999999999999	60.20765953288193	60.20765953288193	0.0	11	0.9401124676731447	1.983969714135192	2.1013199138957077	1.8293100067049668		459.19119	165.61	114_2211_114
