feature_id	component_id	mz	msms_score	matched_peaks	reference_id	adduct	charge	ionmode	instrument	instrument_type	comment	inchikey	inchi	smiles	compound_name	Spectral_library_ID	Spectral_library	lib_name
113	5	329.2331848144531	0.969299574151708	5	43373		-1	negative	qTof	ESI-qTof	DB#=CCMSLIB00005739756; origin=GNPS	MDIUMSLCYIJBQC-UHFFFAOYSA-N	1S/C18H34O5/c1-2-3-7-11-16(20)17(21)14-13-15(19)10-8-5-4-6-9-12-18(22)23/h13-17,19-21H,2-12H2,1H3,(H,22,23)	O=C(O)CCCCCCCC(O)C=CC(O)C(O)CCCCC	FA 18:1+3O	CCMSLIB00005739756	GNPS	/Users/nothiasl/git/enpkg_mn/db_spectra/ALL_GNPS.msp
118	1	503.3375244140625	0.9836016410033864	8	74771		-1	negative	ESI-QTOF	N/A-ESI-QTOF	DB#=CCMSLIB00004717559; origin=GNPS	YCOKATFNRPZIIU-WQKMQOEMSA-N	InChI=1S/C30H48O6/c1-17-9-12-30(24(34)35)14-13-27(4)18(22(30)29(17,6)36)7-8-21-25(2)15-19(32)23(33)26(3,16-31)20(25)10-11-28(21,27)5/h7,17,19-23,31-33,36H,8-16H2,1-6H3,(H,34,35)/t17-,19-,20?,21?,22?,23+,25+,26+,27-,28-,29-,30+/m1/s1		(1R,2R,4aS,6aS,6bR,9R,10R,11R,12aR)-1,10,11-trihydroxy-9-(hydroxymethyl)-1,2,6a,6b,9,12a-hexamethyl-2,3,4,5,6,6a,7,8,8a,10,11,12,13,14b-tetradecahydropicene-4a-carboxylic acid	CCMSLIB00004717559	GNPS	/Users/nothiasl/git/enpkg_mn/db_spectra/ALL_GNPS.msp
135	-1	327.2175598144531	0.8181787710021148	12	48053		-1	negative	qTof	ESI-qTof	DB#=CCMSLIB00005748740; origin=GNPS	MKYUCBXUUSZMQB-UHFFFAOYSA-N	1S/C18H32O5/c1-2-3-7-11-16(20)17(21)14-13-15(19)10-8-5-4-6-9-12-18(22)23/h3,7,13-17,19-21H,2,4-6,8-12H2,1H3,(H,22,23)	O=C(O)CCCCCCCC(O)C=CC(O)C(O)CC=CCC	FA 18:2+3O	CCMSLIB00005748740	GNPS	/Users/nothiasl/git/enpkg_mn/db_spectra/ALL_GNPS.msp
138	5	329.23321533203125	0.9838947081115766	7	43373		-1	negative	qTof	ESI-qTof	DB#=CCMSLIB00005739756; origin=GNPS	MDIUMSLCYIJBQC-UHFFFAOYSA-N	1S/C18H34O5/c1-2-3-7-11-16(20)17(21)14-13-15(19)10-8-5-4-6-9-12-18(22)23/h13-17,19-21H,2-12H2,1H3,(H,22,23)	O=C(O)CCCCCCCC(O)C=CC(O)C(O)CCCCC	FA 18:1+3O	CCMSLIB00005739756	GNPS	/Users/nothiasl/git/enpkg_mn/db_spectra/ALL_GNPS.msp
141	1	243.1597137451172	0.8463557157246816	5	27039		-1	negative	Orbitrap	LC-ESI-Orbitrap	DB#=CCMSLIB00010106859; origin=GNPS	BXXCVHNCCFZMSE-UHFFFAOYSA-N	InChI=1S/C13H24O4/c1-2-3-4-5-6-8-11(13(16)17)9-7-10-12(14)15/h11H,2-10H2,1H3,(H,14,15)(H,16,17)	CCCCCCCC(CCCC(=O)O)C(=O)O	2-heptylhexanedioic acid CollisionEnergy:102040	CCMSLIB00010106859	GNPS	/Users/nothiasl/git/enpkg_mn/db_spectra/ALL_GNPS.msp
157	-1	305.175537109375	0.8857390585046764	6	45915		-1	negative	qTof	ESI-qTof	DB#=CCMSLIB00005744582; origin=GNPS	PQPRTPXWQQQKJC-UHFFFAOYSA-N	1S/C18H26O4/c1-2-16(19)12-8-6-7-10-14-17(20)13-9-4-3-5-11-15-18(21)22/h6-8,10,12,14H,2-5,9,11,13,15H2,1H3,(H,21,22)	O=C(O)CCCCCCCC(=O)C=CC=CC=CC(=O)CC	FA 18:5+2O	CCMSLIB00005744582	GNPS	/Users/nothiasl/git/enpkg_mn/db_spectra/ALL_GNPS.msp
160	26	293.1757507324219	0.973144279993343	6	32890		-1	negative	Orbitrap	LC-ESI-Orbitrap	DB#=CCMSLIB00010121910; origin=GNPS	NLDDIKRKFXEWBK-UHFFFAOYSA-N	InChI=1S/C17H26O4/c1-3-4-5-6-14(18)12-15(19)9-7-13-8-10-16(20)17(11-13)21-2/h8,10-11,14,18,20H,3-7,9,12H2,1-2H3/t14-/m0/s1	CCCCCC(O)CC(=O)CCc1ccc(O)c(OC)c1	6-Gingerol CollisionEnergy:205060	CCMSLIB00010121910	GNPS	/Users/nothiasl/git/enpkg_mn/db_spectra/ALL_GNPS.msp
161	26	293.17608642578125	0.963803244987983	6	32890		-1	negative	Orbitrap	LC-ESI-Orbitrap	DB#=CCMSLIB00010121910; origin=GNPS	NLDDIKRKFXEWBK-UHFFFAOYSA-N	InChI=1S/C17H26O4/c1-3-4-5-6-14(18)12-15(19)9-7-13-8-10-16(20)17(11-13)21-2/h8,10-11,14,18,20H,3-7,9,12H2,1-2H3/t14-/m0/s1	CCCCCC(O)CC(=O)CCc1ccc(O)c(OC)c1	6-Gingerol CollisionEnergy:205060	CCMSLIB00010121910	GNPS	/Users/nothiasl/git/enpkg_mn/db_spectra/ALL_GNPS.msp
164	12	309.2070007324219	0.9327911897502966	7	46722		-1	negative	qTof	ESI-qTof	DB#=CCMSLIB00005746134; origin=GNPS	BJIKXWWZEPAKQC-UHFFFAOYSA-N	1S/C18H30O4/c1-2-3-7-10-15(19)13-14-17-16(22-17)11-8-5-4-6-9-12-18(20)21/h13-14,16-17H,2-12H2,1H3,(H,20,21)	O=C(O)CCCCCCCC1OC1(C=CC(=O)CCCCC)	FA 18:3+2O	CCMSLIB00005746134	GNPS	/Users/nothiasl/git/enpkg_mn/db_spectra/ALL_GNPS.msp
166	32	501.3218078613281	0.7614944116146172	5	80464		-1	negative	impact HD	LC-ESI- impact HD	DB#=CCMSLIB00004683976; origin=GNPS	IDGXIXSKISLYAC-WNTKNEGGSA-N	InChI=1S/C30H46O6/c1-25(2)11-13-30(24(35)36)14-12-27(4)17(18(30)15-25)7-8-20-26(3)16-19(31)22(32)29(6,23(33)34)21(26)9-10-28(20,27)5/h7,18-22,31-32H,8-16H2,1-6H3,(H,33,34)(H,35,36)/t18-,19-,20+,21+,22-,26+,27+,28+,29-,30-/m0/s1	C[C@@]12CC[C@@H]3[C@@]([C@H]1CC=C4[C@]2(CC[C@@]5([C@H]4CC(CC5)(C)C)C(=O)O)C)(C[C@@H]([C@@H]([C@@]3(C)C(=O)O)O)O)C	Medicagenic acid - 40eV	CCMSLIB00004683976	GNPS	/Users/nothiasl/git/enpkg_mn/db_spectra/ALL_GNPS.msp
