feature_id	feature_mz	feature_rt	feature_spectrum_entropy	feature_pred_tax_cla_01kin_val	feature_pred_tax_cla_01kin_score	feature_pred_tax_cla_02sup_val	feature_pred_tax_cla_02sup_score	feature_pred_tax_cla_03cla_val	feature_pred_tax_cla_03cla_score	feature_pred_tax_cla_04dirpar_val	feature_pred_tax_cla_04dirpar_score	feature_pred_tax_npc_01pat_val	feature_pred_tax_npc_01pat_score	feature_pred_tax_npc_02sup_val	feature_pred_tax_npc_02sup_score	feature_pred_tax_npc_03cla_val	feature_pred_tax_npc_03cla_score	component_id	candidate_spectrum_entropy	candidate_structure_molecular_formula	candidate_count_sirius_peaks_explained	candidate_score_sirius_intensity	candidate_score_sirius_isotope	candidate_score_sirius_sirius	candidate_score_sirius_tree	candidate_score_sirius_zodiac	candidate_score_sirius_confidence	candidate_score_sirius_csi	candidate_library	candidate_count_similarity_peaks_matched	candidate_score_similarity	candidate_structure_exact_mass	candidate_structure_xlogp	candidate_structure_inchikey_no_stereo	candidate_structure_smiles_no_stereo	candidate_structure_tax_cla_chemontid	candidate_structure_tax_cla_01kin	candidate_structure_tax_cla_02sup	candidate_structure_tax_cla_03cla	candidate_structure_tax_cla_04dirpar	candidate_structure_tax_npc_01pat	candidate_structure_tax_npc_02sup	candidate_structure_tax_npc_03cla	candidate_structure_organism_occurrence_closest	candidate_structure_organism_occurrence_reference	candidate_structure_error_mz	candidate_structure_error_rt	rank_initial	rank_final	score_initial	score_biological	score_chemical	score_final
1	231.9313507080078	0.22146666666666667	1.92300947095267	dummy	0	dummy	0	dummy	0	dummy	0	dummy	0	dummy	0	dummy	0																																				
2	207.93072509765625	0.22848333333333332	2.2521868361446	dummy	0	dummy	0	dummy	0	dummy	0	dummy	0	dummy	0	dummy	0																																				
3	352.853759765625	0.23081666666666667	0.527741336542426	dummy	0	dummy	0	dummy	0	dummy	0	dummy	0	dummy	0	dummy	0																																				
4	235.9256591796875	0.24005	1.71051892039725	dummy	0	dummy	0	dummy	0	dummy	0	dummy	0	dummy	0	dummy	0																																				
5	261.85064697265625	0.24005	1.45768654291198	dummy	0	dummy	0	dummy	0	dummy	0	dummy	0	dummy	0	dummy	0																																				
6	207.93048095703125	0.24236666666666667	1.76153810036189	dummy	0	dummy	0	dummy	0	dummy	0	dummy	0	dummy	0	dummy	0																																				
7	261.8509521484375	0.24475	1.99128060789255	dummy	0	dummy	0	dummy	0	dummy	0	dummy	0	dummy	0	dummy	0																																				
8	256.846435546875	0.2861	1.91334634620959	Organic compounds	0.125212195192831	Lipids and lipid-like molecules	0.125212195192831	Prenol lipids	0.125212195192831	Diterpene lactones	0.125212195192831	Terpenoids	0.125212195192831	Diterpenoids	0.125212195192831	Labdane diterpenoids	0.125212195192831																																				
9	116.92735290527344	0.29624999999999996	0.818789786981857	dummy	0	dummy	0	dummy	0	dummy	0	dummy	0	dummy	0	dummy	0																																				
10	110.95675659179688	0.3061833333333333	0.791120715106422	dummy	0	dummy	0	dummy	0	dummy	0	dummy	0	dummy	0	dummy	0																																				
11	216.85324096679688	0.3080666666666667	2.11029963640246	Organic compounds	0.00309620961498232	Phenylpropanoids and polyketides	0.00309620961498232	Macrolactams	0.00309620961498232	Macrolactams	0.00309620961498232	Amino acids and Peptides	0.00309620961498232	Oligopeptides	0.00309620961498232	Anabaenopeptins $ Cyclic peptides	0.00309620961498232																																				
12	187.88807678222656	0.3156833333333333	2.12974720094195	Organic compounds	0.0428742925741725	Benzenoids	0.0714362986473464	Steroids and steroid derivatives	0.102898302178014	Triterpenoids	0.156629050010489	Terpenoids	0.141598318150099	Diterpenoids	0.143201390999494	Dammarane and Protostane triterpenoids	0.141598318150099																																				
13	116.9272232055664	0.31679999999999997	1.86361098626702	dummy	0	dummy	0	dummy	0	dummy	0	dummy	0	dummy	0	dummy	0																																				
14	144.92234802246094	0.31679999999999997	2.32636786981182	dummy	0	dummy	0	dummy	0	dummy	0	dummy	0	dummy	0	dummy	0																																				
15	110.95665740966797	0.31679999999999997	0.389378726935833	dummy	0	dummy	0	dummy	0	dummy	0	dummy	0	dummy	0	dummy	0																																				
16	144.92245483398438	0.3257333333333333	1.35385945724248	dummy	0	dummy	0	dummy	0	dummy	0	dummy	0	dummy	0	dummy	0																																				
17	173.9253387451172	0.3257333333333333	1.27737340892306	dummy	0	dummy	0	dummy	0	dummy	0	dummy	0	dummy	0	dummy	0																																				
18	188.88687133789062	0.3257333333333333	1.87427760925638	dummy	0	dummy	0	dummy	0	dummy	0	dummy	0	dummy	0	dummy	0																																				
19	188.88670349121094	0.32675	1.23142053462891	dummy	0	dummy	0	dummy	0	dummy	0	dummy	0	dummy	0	dummy	0																																				
20	184.88905334472656	0.3359166666666667	1.94687255989525	dummy	0	dummy	0	dummy	0	dummy	0	dummy	0	dummy	0	dummy	0																																				
21	189.8882598876953	0.3359166666666667	1.61490911674536	dummy	0	dummy	0	dummy	0	dummy	0	dummy	0	dummy	0	dummy	0																																				
22	187.88795471191406	0.33693333333333336	1.94238560113411	dummy	0	dummy	0	dummy	0	dummy	0	dummy	0	dummy	0	dummy	0																																				
23	186.8871612548828	0.3468666666666667	1.44126560588064	dummy	0	dummy	0	dummy	0	dummy	0	dummy	0	dummy	0	dummy	0																																				
