id	molecularFormula	adduct	NPC#pathway	NPC#pathway Probability	NPC#superclass	NPC#superclass Probability	NPC#class	NPC#class Probability	ClassyFire#most specific class	ClassyFire#most specific class Probability	ClassyFire#level 5	ClassyFire#level 5 Probability	ClassyFire#subclass	ClassyFire#subclass Probability	ClassyFire#class	ClassyFire#class Probability	ClassyFire#superclass	ClassyFire#superclass probability	ClassyFire#all classifications
425_2211_425	C27H50N4O4	[M + Cl]-	Fatty acids	0.5674703121185303	Fatty amides	0.45746874809265137	N-acyl amines	0.44744178652763367	Amino acids and derivatives	0.7402687072753906	Amino acids and derivatives	0.7402687072753906	Amino acids, peptides, and analogues	0.7347124218940735	Carboxylic acids and derivatives	0.9844192862510681	Organic acids and derivatives	0.9981045722961426	Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty amides; Amino acids and derivatives; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl amines; Secondary carboxylic acid amides; Carbonyl compounds; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities
420_2211_420	C29H50O4	[M - H]-	Terpenoids	0.917305052280426	Steroids	0.6740801930427551	Cholestane steroids	0.6391645073890686	Hydroxy bile acids, alcohols and derivatives	0.8850675225257874	Hydroxy bile acids, alcohols and derivatives	0.8850675225257874	Bile acids, alcohols and derivatives	0.8865637183189392	Steroids and steroid derivatives	0.9364649653434753	Lipids and lipid-like molecules	0.9955947995185852	Organic compounds; Lipids and lipid-like molecules; Alcohols and polyols; Steroids and steroid derivatives; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Hydroxy fatty acids; Monocarboxylic acids and derivatives; Carboxylic acids; Cyclic alcohols and derivatives; Hydroxysteroids; Bile acids, alcohols and derivatives; Secondary alcohols; Carbonyl compounds; Hydroxy bile acids, alcohols and derivatives; 3-hydroxysteroids; Medium-chain fatty acids; 7-hydroxysteroids; 12-hydroxysteroids; Steroid acids; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities
339_2211_339	C7H14O4S	[M + CH2O2 - H]-	Fatty acids	0.7081887125968933	Fatty Acids and Conjugates	0.6484515070915222	Thia fatty acids	0.486088365316391	Thia fatty acids	0.5792092084884644	Thia fatty acids	0.5792092084884644	Fatty acids and conjugates	0.6008392572402954	Fatty Acyls	0.7365410923957825	Lipids and lipid-like molecules	0.7080832123756409	Organic compounds; Organosulfur compounds; Lipids and lipid-like molecules; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Monocarboxylic acids and derivatives; Carboxylic acids; Thia fatty acids; Carbonyl compounds; Sulfenyl compounds; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities
556_2211_556	C4H2O2S2	[M - H]-	Shikimates and Phenylpropanoids	0.4000720977783203	Fatty acyls	0.25478479266166687	Oxygenated hydrocarbons	0.2841567397117615	Thiophene carboxylic acids	0.7927724719047546	Thiophene carboxylic acids	0.7927724719047546	Thiophene carboxylic acids and derivatives	0.7906904816627502	Thiophenes	0.8830594420433044	Organoheterocyclic compounds	0.9992952346801758	Organic compounds; Organoheterocyclic compounds; Thiophenes; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Monocarboxylic acids and derivatives; Carboxylic acids; Thiophene carboxylic acids and derivatives; Thiophene carboxylic acids; Organic oxides; Heteroaromatic compounds; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities
477_2211_477	C2H3O6P2	[M - H]-	Fatty acids	0.7105028033256531	Fatty Acids and Conjugates	0.8289707899093628	Dicarboxylic acids	0.8260713219642639	Phosphate esters	0.9372366070747375			Phosphate esters	0.9372366070747375	Organic phosphoric acids and derivatives	0.9460688233375549	Organic acids and derivatives	0.9999970197677612	Organic compounds; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Organic phosphoric acids and derivatives; Phosphate esters; Monocarboxylic acids and derivatives; Carboxylic acids; Carbonyl compounds; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities
395_2211_395	C22H42O3	[M - H]-	Fatty acids	0.8520615100860596	Octadecanoids	0.6298314332962036	Other Octadecanoids	0.7553414702415466	Long-chain fatty acids	0.937764048576355	Long-chain fatty acids	0.937764048576355	Fatty acids and conjugates	0.9867386817932129	Fatty Acyls	0.9836022853851318	Lipids and lipid-like molecules	0.9843050837516785	Organic compounds; Lipids and lipid-like molecules; Ketones; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Keto fatty acids; Monocarboxylic acids and derivatives; Carboxylic acids; Carbonyl compounds; Long-chain fatty acids; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities
109_2211_109	C7H18N3O3	[M - H2O - H]-	Amino acids and Peptides	0.8324877023696899	Small peptides	0.9178468585014343	Aminoacids	0.847471296787262	Alpha amino acids	0.7966227531433105	Amino acids and derivatives	0.9837374687194824	Amino acids, peptides, and analogues	0.9842628836631775	Carboxylic acids and derivatives	0.996088981628418	Organic acids and derivatives	0.9990155696868896	Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Monoalkylamines; Amino fatty acids; Monocarboxylic acids and derivatives; Carboxylic acids; Carbonyl compounds; Alpha amino acids; Amines; Primary amines; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Amino acids; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities
95_2211_95	C11H20N4O4	[M + Cl]-	Alkaloids	0.3160582184791565	Pseudoalkaloids	0.45640504360198975	pteridine alkaloids	0.5179052948951721	Purines and purine derivatives	0.5076063871383667			Purines and purine derivatives	0.5076063871383667	Imidazopyrimidines	0.6116177439689636	Organoheterocyclic compounds	0.9074733257293701	Organic compounds; Organoheterocyclic compounds; Pyrimidines and pyrimidine derivatives; Imidazoles; Purines and purine derivatives; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Pyrimidones; Organooxygen compounds; Guanidines; Azoles; Diazines; Imidazopyrimidines; Carbonyl compounds; Substituted imidazoles; Amines; Primary amines; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities
193_2211_193	C38H70O6	[M + CH2O2 - H]-	Terpenoids	0.30235975980758667	Glycerolipids	0.17713220417499542	Open-chain polyketides	0.11187811940908432	Fatty Acyls	0.7735890746116638					Fatty Acyls	0.7735890746116638	Lipids and lipid-like molecules	0.9407322406768799	Organic compounds; Organoheterocyclic compounds; Lipids and lipid-like molecules; Alcohols and polyols; Ethers; Organic acids and derivatives; Carboxylic acids and derivatives; Primary alcohols; Organooxygen compounds; Monocarboxylic acids and derivatives; Dialkyl ethers; Acetals; Secondary alcohols; Carbonyl compounds; Fatty Acyls; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities
16_2211_16	CClNO4S2	[M - H]-	Alkaloids	0.21853166818618774	Pseudoalkaloids	0.16599979996681213	Halogenated hydrocarbons	0.19888895750045776	Organosulfonic acids and derivatives	0.7309994101524353			Organosulfonic acids and derivatives	0.7309994101524353	Organic sulfonic acids and derivatives	0.7307422161102295	Organic acids and derivatives	0.7318092584609985	Organic compounds; Organosulfur compounds; Organic acids and derivatives; Organosulfonic acids and derivatives; Sulfonyls; Organic oxides; Hydrocarbon derivatives; Organic sulfonic acids and derivatives; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities
1_2211_1	C4H4NO3PS2	[M - H]-	Alkaloids	0.19846951961517334	Fatty acyls	0.25380992889404297	Aminoacids	0.24141457676887512	Organoheterocyclic compounds	0.6745049953460693							Organoheterocyclic compounds	0.6745049953460693	Organic compounds; Organoheterocyclic compounds; Organosulfur compounds; Organic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities
285_2211_285	C35H54N4O6	[M - H2O - H]-	Fatty acids	0.5794198513031006	Sphingolipids	0.4726288318634033	Cyclic peptides	0.244949072599411	Amino acids and derivatives	0.5194432735443115	Amino acids and derivatives	0.5194432735443115	Amino acids, peptides, and analogues	0.5692832469940186	Carboxylic acids and derivatives	0.9746184349060059	Organic acids and derivatives	0.993844747543335	Organic compounds; Organoheterocyclic compounds; Amino acids, peptides, and analogues; Alcohols and polyols; Piperidines; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Carboxylic acid amides; Carboxylic acid derivatives; Secondary alcohols; Secondary carboxylic acid amides; Carbonyl compounds; Polyols; Fatty Acyls; Organic oxides; Azacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities
562_2211_562	C8H7Cl3O3	[M + Br]-	Shikimates and Phenylpropanoids	0.5192505121231079	Phenolic acids (C6-C1)	0.6142556667327881	Simple phenolic acids	0.6069486141204834	Dichlorobenzenes	0.6219605207443237	Chlorobenzenes	0.9077193737030029	Halobenzenes	0.9077360033988953	Benzene and substituted derivatives	0.9917846918106079	Benzenoids	0.971568763256073	Organic compounds; Halobenzenes; Alcohols and polyols; Phenols; Organohalogen compounds; Organooxygen compounds; Alkyl chlorides; Aryl chlorides; Chlorobenzenes; Organochlorides; Secondary alcohols; Benzene and substituted derivatives; Halophenols; Phenol ethers; Benzenoids; Halohydrins; Dichlorobenzenes; Chlorohydrins; Chlorophenols; M-chlorophenols; O-chlorophenols; Aryl halides; Alkyl halides; Hydrocarbon derivatives; Organic oxygen compounds; Phenoxy compounds; Chemical entities
