rank	formulaRank	#adducts	#predictedFPs	ConfidenceScore	CSI:FingerIDScore	ZodiacScore	SiriusScore	molecularFormula	adduct	InChIkey2D	InChI	name	smiles	xlogp	pubchemids	links	dbflags	ionMass	retentionTimeInSeconds	id
1	1	1	1	0.955092460395399	-277.47518664702653	0.9999999999999999	12.339963836735453	C36H68O10	[M - H]-	XSRYVXMFZUWXFT	InChI=1S/C36H68O10/c1-25(2)10-7-13-28(37)16-18-30(39)22-35(43)45-32(15-9-12-27(5)6)20-21-33(24-34(41)42)46-36(44)23-31(40)19-17-29(38)14-8-11-26(3)4/h25-33,37-40H,7-24H2,1-6H3,(H,41,42)	null	CC(C)CCCC(CCC(CC(=O)OC(CCCC(C)C)CCC(CC(=O)O)OC(=O)CC(CCC(CCCC(C)C)O)O)O)O	6.9000001	25023107;102404184	COCONUT:(CNP0266540);Natural Products:(UNPD140680);PubChem:(25023107 102404184);SuperNatural:(SN00357749);2304_LOTUS_DNP	3178498	659.4733276367188	165.737	106_2211_106
2	5	1	1	0.9466967073573586	-160.20002615923116	0.0135678391959799	7.571191012036414	C51H94O12	[M - H4O2 - H]-	KDTCHCIMQJLZEZ	InChI=1S/C51H94O12/c1-37(19-12-21-39(3)24-35-61-45-44(55)43(54)42(53)40(36-52)62-45)18-11-20-38(2)22-13-25-47(6,57)26-14-27-48(7,58)28-15-29-49(8,59)30-16-31-50(9,60)32-17-33-51(10)34-23-41(63-51)46(4,5)56/h19-20,24,40-45,52-60H,11-18,21-23,25-36H2,1-10H3	null	CC(=CCCC(C)=CCOC1OC(CO)C(O)C(O)C1O)CCC=C(C)CCCC(C)(O)CCCC(C)(O)CCCC(C)(O)CCCC(C)(O)CCCC1(C)CCC(C(C)(C)O)O1	9.061877787704907	""	""	0	861.6458740234375	412.177	441_2211_441
3	1	1	11	0.7713287928030074	-152.73805604761577	0.7361809045226131	12.592651713468518	C23H38O7S	[M - H]-	WSBVSABEAXNERB	InChI=1S/C23H38O7S/c1-13(3-8-21(25)26)16-6-7-18-17-5-4-14-11-15(30-31(27,28)29)9-10-23(14,2)19(17)12-20(24)22(16)18/h13-20,22,24H,3-12H2,1-2H3,(H,25,26)(H,27,28,29)	Deoxycholic acid 3-sulfate	CC(CCC(=O)O)C1CCC2C1C(CC3C2CCC4C3(CCC(C4)OS(=O)(=O)O)C)O	4.0999999	22833601;60204060	COCONUT:(CNP0084692);HMDB:(2504);PubChem:(22833601 60204060);SuperNatural:(SN00216213);CHEBI:(88888)	3145770	457.22625732421875	388.981	385_2211_385
4	1	4	4	0.6018909470266206	-118.91287755113812	0.9964824120603014	31.91835097430536	C27H52O8	[M - H2O - H]-	ZHEGLTRCODOIQP	InChI=1S/C27H52O8/c1-2-3-4-5-6-7-8-10-13-16-21(28)23(30)19-25(32)26(33)20-24(31)22(29)17-14-11-9-12-15-18-27(34)35/h10,13,21-26,28-33H,2-9,11-12,14-20H2,1H3,(H,34,35)	Hydroxy fatty acids	CCCCCCCCC=CCC(O)C(O)CC(O)C(O)CC(O)C(O)CCCCCCCC(=O)O	5.071765774225346	""	2304_LOTUS_DNP:(Hydroxy fatty acids)	0	485.3482666015625	297.961	224_2211_224
5	1	1	1	0.5330851222234987	-83.42563366032066	0.9989949748743717	49.06533208570747	C28H36N4O4	[M - H]-	OWKLJRMFTXDULF	InChI=1S/C28H36N4O4/c1-17(2)23-27(35)30-21(15-19-11-7-5-8-12-19)25(33)29-22(16-20-13-9-6-10-14-20)26(34)31-24(18(3)4)28(36)32-23/h5-14,17-18,21-24H,15-16H2,1-4H3,(H,29,33)(H,30,35)(H,31,34)(H,32,36)	3,6-dibenzyl-9,12-di(propan-2-yl)-1,4,7,10-tetrazacyclododecane-2,5,8,11-tetrone	CC(C)C1C(=O)NC(C(=O)NC(C(=O)NC(C(=O)N1)CC2=CC=CC=C2)CC3=CC=CC=C3)C(C)C	4.0999999	424453;102067229	PubChem:(424453 102067229);2304_LOTUS_DNP:(Cyclic peptides)	2	491.2660827636719	233.477	155_2211_155
6	1	4	4	0.47126271610148923	-50.9004718605432	0.9999999999999999	26.62280613356587	C24H44O3	[M + CH2O2 - H]-	HPTANBPJENHABK	InChI=1S/C24H44O3/c1-2-3-4-5-11-14-17-20-23(25)21-18-15-12-9-7-6-8-10-13-16-19-22-24(26)27/h11,14H,2-10,12-13,15-22H2,1H3,(H,26,27)	15-oxo-18Z-tetracosenoic acid	CCCCCC=CCCC(=O)CCCCCCCCCCCCCC(=O)O	8.30000019	5312935	PubChem:(5312935);2304_LOTUS_DNP:(15-oxo-18Z-tetracosenoic acid)	2	425.3270263671875	333.293	271_2211_271
7	2	3	2	0.4314541398865346	-209.0609036877294	0.042211055276381915	22.6918727302837	C19H29ClN4	[M - H]-	YMVURRIQICYWDG	InChI=1S/C19H29ClN4/c1-5-24(6-2)12-8-7-9-14(3)21-19-17-11-10-16(20)13-18(17)22-15(4)23-19/h10-11,13-14H,5-9,12H2,1-4H3,(H,21,22,23)	null	CCN(CC)CCCCC(C)NC1=NC(=NC2=C1C=CC(=C2)Cl)C	5.19999981	45490401	COCONUT:(CNP0036865);PubChem:(45490401);SuperNatural:(SN00074975 SN00074974);ZINC bio:(ZINC05470923 ZINC05470927)	3153922	347.1998291015625	242.09	160_2211_160
8	1	4	4	0.4090619738955089	-222.30349376665907	0.9999999999999999	26.4981356107076	C39H68O9	[M - H2O - H]-	OJFDGOAJDAPKNG	InChI=1S/C39H68O9/c1-4-5-6-7-8-9-10-11-12-13-22-35(43)37-25-26-38(48-37)36(44)28-34(47-30(3)40)21-17-16-19-32(41)18-14-15-20-33(42)24-23-31-27-29(2)46-39(31)45/h27,29,33-38,42-44H,4-26,28H2,1-3H3	Plagioneurin D	CCCCCCCCCCCCC(C1CCC(O1)C(CC(CCCCC(=O)CCCCC(CCC2=CC(OC2=O)C)O)OC(=O)C)O)O	8.0	16040171;16086536;44583897	COCONUT:(CNP0406590);Natural Products:(UNPD186414 UNPD141924);PubChem:(16040171 16086536 44583897);SuperNatural:(SN00344127 SN00389265);PubMed;2304_LOTUS_DNP:(Acetogenins)	3178562	661.4683837890625	439.464	480_2211_480
9	1	1	2	0.4089178537429261	-180.5649797078607	0.9849246231155779	28.503449189415665	C22H18N4O2	[M - H]-	BXYRCDZUINXBPI	InChI=1S/C22H18N4O2/c27-22(17-9-6-12-23-15-17)28-14-13-24-21-18-10-4-5-11-19(18)25-20(26-21)16-7-2-1-3-8-16/h1-12,15H,13-14H2,(H,24,25,26)	Nicotinic acid 2-(2-phenyl-quinazolin-4-ylamino)-ethyl ester	C1=CC=C(C=C1)C2=NC3=CC=CC=C3C(=N2)NCCOC(=O)C4=CN=CC=C4	4.0	1643484	COCONUT:(CNP0010021);Training Set;PubChem:(1643484);PubMed	2113602	369.136962890625	247.633	167_2211_167
10	2	1	2	0.4082138930625856	-294.6571625095059	0.21206030150753769	17.37131795966349	C34H36N4O3	[M - H]-	KWPRIYSXNYEDAX	InChI=1S/C34H36N4O3/c1-2-3-4-12-19-35-32(39)28(20-22-13-6-5-7-14-22)37-33(40)29-21-26-23-15-10-11-18-27(23)36-30(26)31-24-16-8-9-17-25(24)34(41)38(29)31/h5-11,13-18,28-29,31,36H,2-4,12,19-21H2,1H3,(H,35,39)(H,37,40)	null	CCCCCCNC(=O)C(CC1=CC=CC=C1)NC(=O)C2CC3=C(C4N2C(=O)C5=CC=CC=C45)NC6=CC=CC=C36	5.9000001	16405655;95373810;95373811	COCONUT:(CNP0310400);PubChem:(16405655 95373810 95373811);ZINC bio:(ZINC70705275 ZINC70705277)	2105346	547.2730102539062	390.734	388_2211_388
