rank	molecularFormula	adduct	precursorFormula	ZodiacScore	SiriusScore	TreeScore	IsotopeScore	numExplainedPeaks	explainedIntensity	medianMassErrorFragmentPeaks(ppm)	medianAbsoluteMassErrorFragmentPeaks(ppm)	massErrorPrecursor(ppm)	lipidClass	ionMass	retentionTimeInSeconds	id
1	C18H34O6	[M - H2O - H]-	C18H32O5	0.9999999999999999	149.30800574827245	145.42254724058375	3.8854585076886954	24	0.8786612625013132	-6.371426462883823	6.371426462883823	-55041.58689531491		327.21768	182.911	116_2211_116
1	C18H36O7	[M - H4O2 - H]-	C18H32O5	0.9999999999999999	149.30800574827245	145.42254724058375	3.8854585076886954	24	0.8786612625013132	-6.371426462883823	6.371426462883823	-110083.12554401987		327.21768	182.911	116_2211_116
2	C18H36O6	[M - H2O - H]-	C18H34O5	0.9999999999999999	133.869700359885	127.694094166978	6.175606192906998	26	0.9380617431658095	-4.792898881148184	4.792898881148184	-54705.27519790553		329.23312	165.737	104_2211_104
2	C18H38O7	[M - H4O2 - H]-	C18H34O5	0.9999999999999999	133.869700359885	127.694094166978	6.175606192906998	26	0.9380617431658095	-4.792898881148184	4.792898881148184	-109409.87015862859		329.23312	165.737	104_2211_104
3	C18H38O6	[M - H2O - H]-	C18H36O5	0.9999999999999999	127.9575292037426	121.77193078379635	6.185598419946252	29	0.9576548320632782	-7.283349974473667	7.283349974473667	-54372.47316702398		331.24875	205.681	130_2211_130
3	C18H40O7	[M - H4O2 - H]-	C18H36O5	0.9999999999999999	127.9575292037426	121.77193078379635	6.185598419946252	29	0.9576548320632782	-7.283349974473667	7.283349974473667	-108744.19457086839		331.24875	205.681	130_2211_130
4	C18H32O4	[M - H]-	C18H32O4	0.9999999999999999	121.68401263086929	117.78140366035348	3.9026089705158094	26	0.6274807034223419	-7.973115903396708	7.973115903396708	0.0828537640339158		311.22281	208.934	136_2211_136
5	C18H34O4	[M - H]-	C18H34O4	0.9999999999999999	116.74576146401807	112.88624446308998	3.8595170009280912	27	0.8859061414361294	-9.314384300115506	9.314384300115506	-0.09512114939535145		313.23840	254.813	174_2211_174
6	C18H32O5	[M - H2O - H]-	C18H30O4	0.9999999999999999	105.08676693387002	101.19532401095701	3.8914429229130127	37	0.9212178596300308	-6.042645016881858	6.042645016881858	-58247.81556208239		309.20706	258.473	182_2211_182
6	C18H34O6	[M - H4O2 - H]-	C18H30O4	0.9999999999999999	105.08676693387002	101.19532401095701	3.8914429229130127	37	0.9212178596300308	-6.042645016881858	6.042645016881858	-116495.40079200204		309.20706	258.473	182_2211_182
7	C20H20O8	[M - H]-	C20H20O8	0.9999999999999999	82.37830841257103	74.17527814225343	8.203030270317601	15	0.35233487030777894	-0.5263269892210224	1.3631456189209574	-0.5263269892210224		387.10834	100.577	62_2211_62
8	C29H44O5	[M - H]-	C29H44O5	0.9999999999999999	78.24773382665575	71.69335060863006	6.554383218025685	17	0.9796252710267063	-0.7110633082182847	1.3418101128407849	-0.5468229938975742		471.31134	332.083	266_2211_266
9	C18H36O4	[M - H]-	C18H36O4	0.9999999999999999	71.48345505653668	65.25475990206105	6.228695154475637	17	0.7387167400939174	-4.320284274438864	4.320284274438864	-0.7548363622510006		315.25385	244.535	162_2211_162
9	C18H38O5	[M - H2O - H]-	C18H36O4	0.9999999999999999	71.48345505653668	65.25475990206105	6.228695154475637	18	0.7387167400939174	-4.320284274438864	4.320284274438864	-57131.111713455604		315.25385	244.535	162_2211_162
9	C18H40O6	[M - H4O2 - H]-	C18H36O4	0.9999999999999999	71.48345505653668	65.25475990206105	6.228695154475637	18	0.7387167400939174	-4.320284274438864	4.320284274438864	-114261.46859054896		315.25385	244.535	162_2211_162
