feature_id	component_id	precursor_mz
1	1	207.93072509765625
10	3	256.8461608886719
100	-1	523.2557983398438
101	1	112.98435974121094
102	-1	459.1910400390625
103	-1	465.208251953125
104	15	329.2331237792969
105	1	397.2203369140625
106	1	659.4733276367188
107	1	229.1439971923828
108	20	345.2280578613281
109	-1	173.1172332763672
11	3	116.92735290527344
110	-1	303.2176513671875
111	7	175.9586181640625
112	1	239.12838745117188
113	7	174.95523071289062
114	6	187.1330108642578
115	1	315.1813049316406
116	1	327.2176818847656
117	1	397.22113037109375
118	1	403.23345947265625
119	-1	429.2491455078125
12	17	110.95675659179688
120	1	553.266845703125
121	1	507.26080322265625
122	1	371.2436828613281
123	1	329.1970520019531
124	1	187.133056640625
125	1	325.20196533203125
126	-1	447.1342468261719
127	29	293.1758728027344
128	29	293.17608642578125
129	24	337.1081237792969
13	3	116.92721557617188
130	20	331.2487487792969
131	1	291.1600341796875
132	1	381.22760009765625
133	1	399.2361755371094
134	6	391.2123107910156
135	1	573.3641967773438
136	1	311.2228088378906
137	-1	335.2227783203125
138	-1	363.1811218261719
139	20	331.2489013671875
14	17	110.95665740966797
140	1	533.3482055664062
141	-1	399.2374572753906
142	1	315.181396484375
143	-1	339.1236267089844
144	1	577.32275390625
145	1	499.3279113769531
146	-1	431.18402099609375
147	1	375.17901611328125
148	-1	459.202392578125
149	1	293.17584228515625
15	-1	216.8532257080078
150	1	385.259521484375
151	1	435.29620361328125
152	-1	307.1915283203125
153	1	579.338623046875
154	1	333.2070617675781
155	1	491.2660827636719
156	1	537.2716674804688
157	8	325.1841125488281
158	1	347.1851806640625
159	-1	359.2075500488281
16	1	187.88807678222656
160	-1	347.1998291015625
161	4	313.0787658691406
162	1	315.25384521484375
163	1	383.2414245605469
164	1	309.2071838378906
165	1	577.322998046875
166	1	414.134521484375
167	16	369.136962890625
168	1	269.2120361328125
169	1	337.1996154785156
17	1	188.8867645263672
170	3	116.92716217041016
171	-1	331.19134521484375
172	-1	415.26983642578125
173	1	369.2642822265625
174	15	313.2384033203125
175	8	297.15283203125
176	-1	277.144287109375
177	26	604.3700561523438
178	1	291.1965026855469
179	30	265.14794921875
18	1	144.92245483398438
180	8	297.1531066894531
181	1	267.1963806152344
